year,category,laureates,shared_count
1968,Chemistry,['Lars Onsager'],1
1968,Literature,['Yasunari Kawabata'],1
1968,Peace,['René Cassin'],1
1968,Physics,['Luis Walter Alvarez'],1
1968,Physiology or Medicine,"['Robert W. Holley', 'Har Gobind Khorana', 'Marshall W. Nirenberg']",3
1969,Chemistry,"['Derek H. R. Barton', 'Odd Hassel']",2
1969,Economic Sciences,"['Ragnar Frisch', 'Jan Tinbergen']",2
1969,Literature,['Samuel Beckett'],1
1969,Peace,['International Labour Organization'],1
1969,Physics,['Murray Gell-Mann'],1
1969,Physiology or Medicine,"['Max Delbrück', 'Alfred D. Hershey', 'Salvador E. Luria']",3
1970,Chemistry,['Luis F. Leloir'],1
1970,Economic Sciences,['Paul A. Samuelson'],1
1970,Literature,['Aleksandr Isayevich Solzhenitsyn'],1
1970,Peace,['Norman Ernest Borlaug'],1
1970,Physics,"['Hannes Olof Gösta Alfvén', 'Louis Eugène Félix Néel']",2
1970,Physiology or Medicine,"['Sir Bernard Katz', 'Ulf von Euler', 'Julius Axelrod']",3
1971,Chemistry,['Gerhard Herzberg'],1
1971,Economic Sciences,['Simon Kuznets'],1
1971,Literature,['Pablo Neruda'],1
1971,Peace,['Willy Brandt'],1
1971,Physics,['Dennis Gabor'],1
1971,Physiology or Medicine,"['Earl W. Sutherland, Jr.']",1
1972,Chemistry,"['Christian B. Anfinsen', 'Stanford Moore', 'William H. Stein']",3
1972,Economic Sciences,"['John R. Hicks', 'Kenneth J. Arrow']",2
1972,Literature,['Heinrich Böll'],1
1972,Peace,,0
1972,Physics,"['John Bardeen', 'Leon Neil Cooper', 'John Robert Schrieffer']",3
1972,Physiology or Medicine,"['Gerald M. Edelman', 'Rodney R. Porter']",2
1973,Chemistry,"['Ernst Otto Fischer', 'Geoffrey Wilkinson']",2
1973,Economic Sciences,['Wassily Wassilyevich Leontief'],1
1973,Literature,['Patrick White'],1
1973,Peace,"['Henry Alfred Kissinger', 'Le Duc Tho ']",2
1973,Physics,"['Leo Esaki', 'Ivar Giaever', 'Brian David Josephson']",3
